Filing ID;Company;Ticker;CIK;Filing Date;Filing Type;Period End;Fiscal Year;Fiscal Period;SEC Link;Calcbench Published;Data
2575776;ADVANCED MICRO DEVICES INC;AMD;2488;26.3.2026;DEF 14A;26.12.2025;2025;4;https://www.sec.gov/Archives/edgar/data/2488/000119312526129057/0001193125-26-129057-index.htm;27.3.2026;FALSE
2575712;Walmart Inc.;WMT;104169;26.3.2026;8-K;29.4.2026;2027;1;https://www.sec.gov/Archives/edgar/data/104169/000010416926000067/0000104169-26-000067-index.htm;27.3.2026;FALSE
2575404;FORD MOTOR CO;F;37996;26.3.2026;DEF 14A;30.12.2025;2025;4;https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/0001552781-26-000164-index.htm;27.3.2026;FALSE
2575170;CATERPILLAR INC;CAT;18230;25.3.2026;8-K;30.3.2026;2026;1;https://www.sec.gov/Archives/edgar/data/18230/000001823026000013/0000018230-26-000013-index.htm;26.3.2026;FALSE
2574747;LOCKHEED MARTIN CORP;LMT;936468;25.3.2026;DEF 14A;30.12.2025;2025;4;https://www.sec.gov/Archives/edgar/data/936468/000093646826000004/0000936468-26-000004-index.htm;26.3.2026;FALSE
2575183;CATERPILLAR INC;CAT;18230;25.3.2026;8-K;30.12.2025;2025;4;https://www.sec.gov/Archives/edgar/data/18230/000001823026000013/0000018230-26-000013-index.htm;;FALSE
2574429;CHEVRON CORP;CVX;93410;24.3.2026;8-K;30.3.2026;2026;1;https://www.sec.gov/Archives/edgar/data/93410/000009341026000103/0000093410-26-000103-index.htm;25.3.2026;FALSE
2573612;INTEL CORP;INTC;50863;23.3.2026;DEFR14A;26.12.2025;2025;4;https://www.sec.gov/Archives/edgar/data/50863/000005086326000066/0000050863-26-000066-index.htm;24.3.2026;FALSE
2573536;AT&T INC.;T;732717;22.3.2026;DEF 14A;30.12.2025;2025;4;https://www.sec.gov/Archives/edgar/data/732717/000119312526119888/0001193125-26-119888-index.htm;23.3.2026;FALSE
2573524;INTEL CORP;INTC;50863;22.3.2026;DEF 14A;26.12.2025;2025;4;https://www.sec.gov/Archives/edgar/data/50863/000005086326000061/0000050863-26-000061-index.htm;23.3.2026;FALSE
2573369;BANK OF AMERICA CORP /DE/;BAC;70858;22.3.2026;DEF 14A;30.12.2025;2025;4;https://www.sec.gov/Archives/edgar/data/70858/000119312526118929/0001193125-26-118929-index.htm;23.3.2026;FALSE
2572756;Walt Disney Co;DIS;1744489;19.3.2026;8-K;26.3.2026;2026;2;https://www.sec.gov/Archives/edgar/data/1744489/000162828026020172/0001628280-26-020172-index.htm;20.3.2026;FALSE
2572353;UNITED PARCEL SERVICE INC;UPS;1090727;18.3.2026;DEF 14A;30.12.2025;2025;4;https://www.sec.gov/Archives/edgar/data/1090727/000162828026019856/0001628280-26-019856-index.htm;19.3.2026;FALSE
2571375;Jpmorgan Chase & Co;JPM;19617;17.3.2026;WIREPR;30.3.2026;2026;1;https://www.businesswire.com/news/home/20260317734242/en/JPMorganChase-to-Host-First-Quarter-2026-Earnings-Call;17.3.2026;FALSE
2570897;DEERE & CO;DE;315189;15.3.2026;8-K;30.4.2026;2026;2;https://www.sec.gov/Archives/edgar/data/315189/000110465926028536/0001104659-26-028536-index.htm;16.3.2026;FALSE
2570613;Salesforce, Inc.;CRM;1108524;15.3.2026;8-K;29.4.2026;2027;1;https://www.sec.gov/Archives/edgar/data/1108524/000119312526107403/0001193125-26-107403-index.htm;16.3.2026;FALSE
2570317;Salesforce, Inc.;CRM;1108524;12.3.2026;8-K;29.4.2026;2027;1;https://www.sec.gov/Archives/edgar/data/1108524/000119312526106356/0001193125-26-106356-index.htm;13.3.2026;FALSE
2570215;Walmart Inc.;WMT;104169;12.3.2026;10-K;30.1.2026;2026;4;https://www.sec.gov/Archives/edgar/data/104169/000010416926000055/0000104169-26-000055-index.htm;13.3.2026;TRUE
2570226;FORD MOTOR CO;F;37996;12.3.2026;8-K;30.3.2026;2026;1;https://www.sec.gov/Archives/edgar/data/37996/000003799626000073/0000037996-26-000073-index.htm;13.3.2026;FALSE
2570193;Walmart Inc.;WMT;104169;12.3.2026;8-K;29.4.2026;2027;1;https://www.sec.gov/Archives/edgar/data/104169/000010416926000057/0000104169-26-000057-index.htm;13.3.2026;FALSE
2570191;VERIZON COMMUNICATIONS INC;VZ;732712;12.3.2026;8-K;30.3.2026;2026;1;https://www.sec.gov/Archives/edgar/data/732712/000073271226000010/0000732712-26-000010-index.htm;13.3.2026;FALSE
2569711;Salesforce, Inc.;CRM;1108524;11.3.2026;8-K;29.4.2026;2027;1;https://www.sec.gov/Archives/edgar/data/1108524/000119312526104282/0001193125-26-104282-index.htm;12.3.2026;FALSE
2569499;AT&T INC.;T;732717;11.3.2026;8-K;30.3.2026;2026;1;https://www.sec.gov/Archives/edgar/data/732717/000119312526104098/0001193125-26-104098-index.htm;12.3.2026;FALSE
2569322;PFIZER INC;PFE;78003;11.3.2026;DEF 14A;30.12.2025;2025;4;https://www.sec.gov/Archives/edgar/data/78003/000007800326000033/0000078003-26-000033-index.htm;12.3.2026;FALSE
2568966;TARGET CORP;TGT;27419;10.3.2026;10-K;30.1.2026;2025;4;https://www.sec.gov/Archives/edgar/data/27419/000002741926000016/0000027419-26-000016-index.htm;11.3.2026;TRUE
2569006;Chubb Ltd;CB;896159;10.3.2026;8-K;30.3.2026;2026;1;https://www.sec.gov/Archives/edgar/data/896159/000110465926026429/0001104659-26-026429-index.htm;11.3.2026;FALSE
2568709;ORACLE CORP;ORCL;1341439;10.3.2026;10-Q;27.2.2026;2026;3;https://www.sec.gov/Archives/edgar/data/1341439/000119312526101045/0001193125-26-101045-index.htm;11.3.2026;TRUE
2568704;JOHNSON & JOHNSON;JNJ;200406;10.3.2026;DEF 14A;27.12.2025;2025;4;https://www.sec.gov/Archives/edgar/data/200406/000020040626000063/0000200406-26-000063-index.htm;11.3.2026;FALSE
2568505;ORACLE CORP;ORCL;1341439;9.3.2026;8-K;27.2.2026;2026;3;https://www.sec.gov/Archives/edgar/data/1341439/000119312526100148/0001193125-26-100148-index.htm;10.3.2026;FALSE
2568145;NIKE, Inc.;NKE;320187;8.3.2026;8-K;27.5.2026;2026;4;https://www.sec.gov/Archives/edgar/data/320187/000032018726000020/0000320187-26-000020-index.htm;9.3.2026;FALSE
2567720;Alphabet Inc.;GOOG;1652044;5.3.2026;8-K;30.3.2026;2026;1;https://www.sec.gov/Archives/edgar/data/1652044/000165204426000026/0001652044-26-000026-index.htm;6.3.2026;FALSE
2567586;Salesforce, Inc.;CRM;1108524;5.3.2026;8-K;30.1.2026;2026;4;https://www.sec.gov/Archives/edgar/data/1108524/000110852426000062/0001108524-26-000062-index.htm;6.3.2026;FALSE
2567564;NVIDIA CORP;NVDA;1045810;5.3.2026;8-K;24.4.2026;2027;1;https://www.sec.gov/Archives/edgar/data/1045810/000104581026000024/0001045810-26-000024-index.htm;6.3.2026;FALSE
