Filing ID,Company,Ticker,CIK,Filing Date,Filing Type,Period End,Fiscal Year,Fiscal Period,SEC Link,Calcbench Published,Data,is_verified_signal
2568709,ORACLE CORP,ORCL,1341439,2026-03-10,10-Q,27.2.2026,2026.0,3.0,https://www.sec.gov/Archives/edgar/data/1341439/000119312526101045/0001193125-26-101045-index.htm,2026-03-11,True,True
2563404,DEERE & CO,DE,315189,2026-02-25,10-Q,31.1.2026,2026.0,1.0,https://www.sec.gov/Archives/edgar/data/315189/000110465926020158/0001104659-26-020158-index.htm,2026-02-26,True,True
2562654,NVIDIA CORP,NVDA,1045810,2026-02-24,8-K,24.1.2026,2026.0,4.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000019/0001045810-26-000019-index.htm,2026-02-25,True,True
2562300,"Salesforce, Inc.",CRM,1108524,2026-02-24,8-K,30.1.2026,2026.0,4.0,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000056/0001108524-26-000056-index.htm,2026-02-25,True,True
2559386,Walmart Inc.,WMT,104169,2026-02-18,8-K,30.1.2026,2026.0,4.0,https://www.sec.gov/Archives/edgar/data/104169/000010416926000032/0000104169-26-000032-index.htm,2026-02-19,True,True
2559317,DEERE & CO,DE,315189,2026-02-18,8-K,31.1.2026,2026.0,1.0,https://www.sec.gov/Archives/edgar/data/315189/000110465926017239/0001104659-26-017239-index.htm,2026-02-19,True,True
2558457,FIRSTENERGY CORP,FE,1031296,2026-02-16,8-K,30.12.2025,2025.0,4.0,https://www.sec.gov/Archives/edgar/data/1031296/000103129626000041/0001031296-26-000041-index.htm,2026-02-17,True,True
2556106,MCDONALDS CORP,MCD,63908,2026-02-10,8-K,30.12.2025,2025.0,4.0,https://www.sec.gov/Archives/edgar/data/63908/000006390826000032/0000063908-26-000032-index.htm,2026-02-11,True,True
2553242,Alphabet Inc.,GOOG,1652044,2026-02-03,8-K,30.12.2025,2025.0,4.0,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000012/0001652044-26-000012-index.htm,2026-02-04,True,True
2552807,ADVANCED MICRO DEVICES INC,AMD,2488,2026-02-02,8-K,26.12.2025,2025.0,4.0,https://www.sec.gov/Archives/edgar/data/2488/000000248826000014/0000002488-26-000014-index.htm,2026-02-03,True,True
2552805,Chubb Ltd,CB,896159,2026-02-02,8-K,30.12.2025,2025.0,4.0,https://www.sec.gov/Archives/edgar/data/896159/000119312526035589/0001193125-26-035589-index.htm,2026-02-03,True,True
2552545,PFIZER INC,PFE,78003,2026-02-02,8-K,30.12.2025,2025.0,4.0,https://www.sec.gov/Archives/edgar/data/78003/000007800326000005/0000078003-26-000005-index.htm,2026-02-03,True,True
2552121,Walt Disney Co,DIS,1744489,2026-02-01,10-Q,26.12.2025,2026.0,1.0,https://www.sec.gov/Archives/edgar/data/1744489/000174448926000019/0001744489-26-000019-index.htm,2026-02-02,True,True
2552115,Walt Disney Co,DIS,1744489,2026-02-01,8-K,26.12.2025,2026.0,1.0,https://www.sec.gov/Archives/edgar/data/1744489/000174448926000018/0001744489-26-000018-index.htm,2026-02-02,True,True
2551548,EXXON MOBIL CORP,XOM,34088,2026-01-29,8-K,30.12.2025,2025.0,4.0,https://www.sec.gov/Archives/edgar/data/34088/000003408826000033/0000034088-26-000033-index.htm,2026-01-30,True,True
